kind = 1 [<accept>], spelling = "accept", line = 1
kind = 2 [<dest>], spelling = "dest", line = 2
kind = 3 [<dport>], spelling = "dport", line = 3
kind = 4 [<drop>], spelling = "drop", line = 4
kind = 5 [<forward>], spelling = "forward", line = 5
kind = 6 [<icmptype>], spelling = "icmptype", line = 6
kind = 8 [<input>], spelling = "input", line = 7
kind = 10 [<local>], spelling = "local", line = 8
kind = 11 [<log>], spelling = "log", line = 9
kind = 13 [<masq>], spelling = "masq", line = 10
kind = 14 [<output>], spelling = "output", line = 11
kind = 15 [<proto>], spelling = "proto", line = 12
kind = 16 [<proxy>], spelling = "proxy", line = 13
kind = 18 [<redirect>], spelling = "redirect", line = 14
kind = 19 [<reject>], spelling = "reject", line = 15
kind = 22 [<source>], spelling = "source", line = 16
kind = 23 [<sport>], spelling = "sport", line = 17
kind = 25 [<text>], spelling = "text", line = 18
